12179.png: PSNR=29.57, SSIM=0.848, FSIM=0.976
12180.png: PSNR=29.99, SSIM=0.888, FSIM=0.962
12181.png: PSNR=29.28, SSIM=0.766, FSIM=0.937
12182.png: PSNR=29.35, SSIM=0.786, FSIM=0.933
12183.png: PSNR=28.47, SSIM=0.632, FSIM=0.981
12184.png: PSNR=29.32, SSIM=0.811, FSIM=0.981
12185.png: PSNR=28.25, SSIM=0.542, FSIM=0.993
12186.png: PSNR=28.37, SSIM=0.601, FSIM=0.983
input000.png: PSNR=29.49, SSIM=0.766, FSIM=0.864
input001.png: PSNR=29.55, SSIM=0.767, FSIM=0.766
input002.png: PSNR=28.81, SSIM=0.473, FSIM=0.763
input003.png: PSNR=28.78, SSIM=0.470, FSIM=0.750
input004.png: PSNR=27.74, SSIM=0.543, FSIM=0.916
input005.png: PSNR=27.90, SSIM=0.608, FSIM=0.827
input006.png: PSNR=27.99, SSIM=0.543, FSIM=0.767
input007.png: PSNR=28.12, SSIM=0.600, FSIM=0.858
